actual,pred_raw,pred_raw_se,pred_binary
0.0,0.28510214885075885,0.05798548708393533,0
0.0,0.7402486006418864,0.024302905961170185,1
0.0,0.7083167831103007,0.024155298669644224,1
0.0,0.446608304977417,0.06363960830056027,0
0.0,0.33394259214401245,0.019193932893158926,0
0.0,0.7117651104927063,0.011927583824266001,1
0.0,0.06050364983578523,0.015029290831528177,0
0.0,0.17412800093491873,0.03787723451128712,0
0.0,0.238531361023585,0.02832578801232557,0
0.0,0.5084676643212637,0.06577626394123837,0
0.0,0.7090884844462076,0.007262486298824456,1
0.0,0.4734715720017751,0.0237361106692347,0
0.0,0.41625378529230755,0.023464538096939602,0
0.0,0.7860609491666158,0.010678724239618487,1
0.0,0.4986676474412282,0.013815246383077209,0
0.0,0.5120870073636373,0.03192262632354044,0
0.0,0.2226425508658091,0.014523166017011696,0
0.0,0.4962263802687327,0.015337119870210303,0
0.0,0.10923267900943756,0.03534432009051619,0
0.0,0.2016488015651703,0.0632010683688687,0
0.0,0.006306615813324849,0.0007747324876943094,0
0.0,0.009838316822424531,0.004886216836111121,0
1.0,0.29618332783381146,0.0261546718500782,0
0.0,0.598034123579661,0.03890045162904536,0
0.0,0.6705465714136759,0.013026744737304202,1
0.0,0.046994841657578945,0.025138668388157582,0
0.0,0.8606839378674825,0.0246333656205621,1
0.0,0.2156674712896347,0.009818826687626953,0
0.0,0.22567908465862274,0.02457379728883655,0
0.0,0.7903807163238525,0.009748202842479134,1
0.0,0.44311705231666565,0.03867232406689808,0
1.0,0.3913275897502899,0.03312951772879077,0
0.0,0.6597079435984293,0.023739075384858407,1
0.0,0.7851497928301493,0.022532040393653155,1
0.0,0.12336824213465054,0.06168468632119319,0
0.0,0.711300253868103,0.0608760935406465,1
0.0,0.789443830649058,0.016108120581287706,1
0.0,0.4540271560351054,0.033723746318451396,0
0.0,0.623964766661326,0.025150897071550708,1
0.0,0.20038263499736786,0.035377556892512485,0
0.0,0.5208249588807424,0.03292770221815163,0
0.0,0.4086173375447591,0.010897664794124861,0
0.0,0.08640220512946446,0.010529172738758912,0
0.0,0.160562073191007,0.006496674187069938,0
0.0,0.49157871802647907,0.036724707024926445,0
0.0,0.2513918876647949,0.03681737024288059,0
